	meth pos	observed CpG	expected CpG	CpG bias	meth density	median meth %
SpisGene11464	0	88	91.36	0.9632	0	0
SpisGene11465	4	20	38.82	0.5152	10.0	54.33
SpisGene11466	44	35	79.87	0.4382	62.86	85.16
SpisGene11467	84	222	341.88	0.6494	18.92	66.67
SpisGene11468	2	32	57.08	0.5606	3.12	81.75
SpisGene11469	76	95	245.74	0.3866	40.0	42.02
SpisGene11470	0	210	223.31	0.9404	0	0
SpisGene11471	0	47	49.61	0.9474	0	0
SpisGene11472	291	1027	1529.37	0.6715	14.17	86.96
SpisGene11474	51	27	92.0	0.2935	94.44	43.24
SpisGene11475	0	516	911.47	0.5661	0	0
SpisGene11476	175	458	811.24	0.5646	19.1	90.0
SpisGene11477	132	320	396.48	0.8071	20.62	84.41
SpisGene11478	89	191	320.57	0.5958	23.3	72.73
SpisGene11479	156	137	286.77	0.4777	56.93	57.14
SpisGene11480	0	139	144.53	0.9617	0	0
SpisGene11481	119	128	172.17	0.7435	46.48	83.33
SpisGene11482	0	100	102.18	0.9787	0	0
SpisGene11483	104	732	928.4	0.7885	7.1	50.0
SpisGene11484	0	242	278.26	0.8697	0	0
SpisGene11485	24	649	570.23	1.1381	1.85	10.39
SpisGene11486	0	54	132.75	0.4068	0	0
SpisGene11487	38	30	112.94	0.2656	63.33	89.97
SpisGene11488	10	22	66.13	0.3327	22.73	83.33
SpisGene11489	55	86	216.09	0.398	31.98	88.89
SpisGene11490	88	71	115.57	0.6143	61.97	86.67
SpisGene11491	90	331	387.92	0.8533	13.6	74.34
SpisGene11492	0	372	337.62	1.1018	0	0
SpisGene11493	18	139	169.33	0.8209	6.47	92.5
SpisGene11494	37	50	183.77	0.2721	37.0	77.78
SpisGene11495	0	68	62.28	1.0918	0	0
SpisGene11496	6	28	25.57	1.095	10.71	13.39
SpisGene11497	0	367	422.77	0.8681	0	0
SpisGene11498	84	455	650.22	0.6998	9.23	60.0
SpisGene11499	4	99	121.88	0.8123	2.02	5.08
SpisGene11500	17	27	50.19	0.538	31.48	5.06
SpisGene11501	25	256	309.64	0.8268	4.88	6.56
SpisGene11502	0	26	53.61	0.485	0	0
SpisGene11503	10	18	54.81	0.3284	27.78	40.69
SpisGene11504	0	269	256.24	1.0498	0	0
SpisGene11505	0	500	431.34	1.1592	0	0
SpisGene11506	164	939	927.39	1.0125	8.73	11.41
SpisGene11507	179	917	1148.28	0.7986	9.76	80.0
SpisGene11508	418	1371	1976.01	0.6938	15.24	85.0
SpisGene11509	238	246	522.2	0.4711	48.37	90.69
SpisGene11510	166	133	255.91	0.5197	62.41	79.29
SpisGene11511	145	109	212.89	0.512	66.51	63.16
SpisGene11512	8	325	410.76	0.7912	1.23	47.73
SpisGene11513	0	330	401.28	0.8224	0	0
SpisGene11514	1	385	210.17	1.8319	0.13	16.0
SpisGene11515	1	144	172.11	0.8367	0.35	8.51
SpisGene11516	30	49	158.7	0.3088	30.61	18.93
SpisGene11517	0	217	303.06	0.716	0	0
SpisGene11518	6	232	268.0	0.8657	1.29	11.49
SpisGene11519	0	110	162.45	0.6771	0	0
SpisGene11520	0	68	115.05	0.591	0	0
SpisGene11521	0	45	65.05	0.6918	0	0
SpisGene11522	0	68	69.37	0.9803	0	0
SpisGene11523	69	322	460.62	0.6991	10.71	85.0
SpisGene11524	49	148	159.03	0.9306	16.55	85.71
SpisGene11525	168	175	332.11	0.5269	48.0	85.71
SpisGene11526	0	51	45.86	1.1121	0	0
SpisGene11527	127	288	431.54	0.6674	22.05	81.25
SpisGene11528	0	495	506.93	0.9765	0	0
SpisGene11529	9	429	431.29	0.9947	1.05	20.0
SpisGene11530	0	158	177.02	0.8926	0	0
SpisGene11531	0	148	188.44	0.7854	0	0
SpisGene11532	0	108	150.12	0.7194	0	0
SpisGene11533	67	226	340.22	0.6643	14.82	76.47
SpisGene11534	0	85	93.78	0.9064	0	0
SpisGene11535	0	588	589.36	0.9977	0	0
SpisGene11536	218	232	490.2	0.4733	46.98	87.5
SpisGene11537	145	106	230.06	0.4607	68.4	76.92
SpisGene11538	1	28	65.0	0.4308	1.79	5.56
SpisGene11539	0	329	374.28	0.879	0	0
SpisGene11540	121	468	635.41	0.7365	12.93	69.23
SpisGene11541	412	232	597.09	0.3886	88.79	84.62
SpisGene11542	216	113	179.6	0.6292	95.58	93.1
SpisGene11543	2	244	281.58	0.8665	0.41	15.26
SpisGene11544	0	415	385.9	1.0754	0	0
SpisGene11545	79	71	197.45	0.3596	55.63	84.21
SpisGene11546	51	60	107.55	0.5579	42.5	88.89
SpisGene11547	230	186	222.9	0.8345	61.83	88.24
SpisGene11548	165	319	526.66	0.6057	25.86	89.47
SpisGene11550	96	95	287.22	0.3308	50.53	83.33
SpisGene11551	6	547	546.37	1.0012	0.55	5.6
SpisGene11552	1	379	378.82	1.0005	0.13	3.57
SpisGene11553	11	430	400.03	1.0749	1.28	6.25
SpisGene11554	6	252	244.66	1.03	1.19	7.95
SpisGene11555	0	140	103.98	1.3464	0	0
SpisGene11556	69	121	187.63	0.6449	28.51	52.63
SpisGene11557	0	120	138.56	0.8661	0	0
SpisGene11558	0	144	94.32	1.5267	0	0
SpisGene11559	38	193	262.05	0.7365	9.84	76.39
SpisGene11560	0	242	246.27	0.9827	0	0
SpisGene11561	0	244	249.88	0.9765	0	0
SpisGene11562	0	140	139.15	1.0061	0	0
SpisGene11563	30	39	85.8	0.4545	38.46	88.85
SpisGene11564	89	69	169.96	0.406	64.49	85.0
SpisGene11565	112	102	275.99	0.3696	54.9	88.19
SpisGene11566	34	38	84.19	0.4514	44.74	89.74
SpisGene11567	189	124	417.74	0.2968	76.21	88.89
SpisGene11568	247	605	913.33	0.6624	20.41	86.67
SpisGene11569	0	61	51.14	1.1928	0	0
SpisGene11570	193	468	711.88	0.6574	20.62	85.71
SpisGene11571	111	311	609.01	0.5107	17.85	42.86
SpisGene11572	223	230	387.68	0.5933	48.48	81.25
SpisGene11573	158	89	408.54	0.2178	88.76	89.47
SpisGene11574	86	293	427.74	0.685	14.68	90.0
SpisGene11575	167	269	355.25	0.7572	31.04	83.33
SpisGene11576	0	43	40.92	1.0508	0	0
SpisGene11577	0	127	118.82	1.0688	0	0
SpisGene11578	0	162	142.04	1.1405	0	0
SpisGene11579	0	135	154.57	0.8734	0	0
SpisGene11580	170	207	212.22	0.9754	41.06	35.5
SpisGene11581	111	67	303.72	0.2206	82.84	91.67
SpisGene11582	28	15	60.68	0.2472	93.33	87.08
SpisGene11583	24	41	83.17	0.493	29.27	88.56
SpisGene11584	62	33	109.55	0.3012	93.94	77.35
SpisGene11585	0	66	104.41	0.6321	0	0
SpisGene11586	80	338	377.05	0.8964	11.83	44.8
SpisGene11587	166	175	352.15	0.4969	47.43	83.67
SpisGene11588	57	67	180.13	0.372	42.54	86.36
SpisGene11589	26	13	68.84	0.1888	100.0	91.07
SpisGene11590	0	298	321.53	0.9268	0	0
SpisGene11591	48	78	52.32	1.4908	30.77	67.22
SpisGene11592	159	104	148.23	0.7016	76.44	90.91
SpisGene11593	130	113	314.5	0.3593	57.52	71.43
SpisGene11594	0	53	68.54	0.7733	0	0
SpisGene11595	221	346	527.92	0.6554	31.94	13.64
SpisGene11596	23	33	52.39	0.6299	34.85	60.0
SpisGene11597	116	123	138.61	0.8874	47.15	40.37
SpisGene11598	16	101	151.06	0.6686	7.92	42.48
SpisGene11599	54	354	335.19	1.0561	7.63	13.42
SpisGene11600	82	58	165.6	0.3502	70.69	89.18
SpisGene11601	25	31	80.37	0.3857	40.32	90.0
SpisGene11602	54	47	136.23	0.345	57.45	88.56
SpisGene11603	17	280	331.55	0.8445	3.04	23.81
SpisGene11604	0	316	330.78	0.9553	0	0
SpisGene11605	41	122	187.64	0.6502	16.8	83.33
SpisGene11606	17	116	171.01	0.6783	7.33	28.57
SpisGene11607	0	49	33.0	1.4848	0	0
SpisGene11608	0	34	54.22	0.6271	0	0
SpisGene11609	0	100	133.45	0.7493	0	0
SpisGene11610	0	61	79.79	0.7645	0	0
SpisGene11611	1	92	79.63	1.1553	0.54	19.05
SpisGene11612	0	129	148.38	0.8694	0	0
SpisGene11613	2	460	531.99	0.8647	0.22	9.77
SpisGene11614	0	142	190.69	0.7447	0	0
SpisGene11615	0	144	166.77	0.8635	0	0
SpisGene11616	0	43	48.73	0.8824	0	0
SpisGene11617	0	37	42.68	0.8669	0	0
SpisGene11618	6	928	887.79	1.0453	0.32	7.96
SpisGene11619	0	538	627.99	0.8567	0	0
SpisGene11620	26	462	459.73	1.0049	2.81	10.88
SpisGene11621	0	66	75.12	0.8786	0	0
SpisGene11622	61	583	682.47	0.8543	5.23	84.62
SpisGene11623	23	12	59.26	0.2025	95.83	82.35
SpisGene11624	94	84	151.35	0.555	55.95	91.49
SpisGene11625	73	54	145.5	0.3711	67.59	88.89
SpisGene11626	33	373	487.44	0.7652	4.42	30.77
SpisGene11627	88	406	575.01	0.7061	10.84	82.09
SpisGene11628	19	173	215.59	0.8024	5.49	33.33
SpisGene11629	103	89	257.8	0.3452	57.87	86.67
SpisGene11630	191	171	349.56	0.4892	55.85	83.33
SpisGene11631	0	112	108.13	1.0358	0	0
SpisGene11632	0	90	100.02	0.8998	0	0
SpisGene11633	3	217	245.35	0.8845	0.69	13.64
SpisGene11634	120	131	294.86	0.4443	45.8	88.89
SpisGene11635	0	105	100.83	1.0414	0	0
SpisGene11636	37	141	199.49	0.7068	13.12	41.38
SpisGene11637	235	1256	1524.48	0.8239	9.36	84.62
SpisGene11638	0	42	35.91	1.1696	0	0
SpisGene11639	0	157	164.67	0.9534	0	0
SpisGene11640	108	324	501.1	0.6466	16.67	87.5
SpisGene11641	24	82	147.13	0.5573	14.63	70.73
SpisGene11642	0	264	188.69	1.3991	0	0
SpisGene11643	36	433	444.81	0.9734	4.16	67.23
SpisGene11644	35	34	63.89	0.5322	51.47	83.33
SpisGene11645	30	291	305.62	0.9522	5.15	31.91
SpisGene11646	0	168	215.42	0.7799	0	0
SpisGene11647	0	118	135.92	0.8682	0	0
SpisGene11648	0	100	117.23	0.853	0	0
SpisGene11649	21	129	156.29	0.8254	8.14	16.67
SpisGene11650	44	30	151.73	0.1977	73.33	82.5
SpisGene11651	77	65	234.58	0.2771	59.23	87.5
SpisGene11652	70	55	133.35	0.4124	63.64	85.16
SpisGene11653	61	55	108.45	0.5071	55.45	91.67
SpisGene11654	94	160	256.76	0.6232	29.38	68.99
SpisGene11655	62	104	257.46	0.4039	29.81	74.17
SpisGene11656	0	358	361.44	0.9905	0	0
SpisGene11657	34	233	348.43	0.6687	7.3	84.96
SpisGene11658	34	84	103.35	0.8128	20.24	87.08
SpisGene11659	31	65	87.5	0.7429	23.85	86.67
SpisGene11660	173	262	320.35	0.8179	33.02	76.92
SpisGene11661	38	79	79.97	0.9879	24.05	15.81
SpisGene11662	379	596	920.3	0.6476	31.8	81.25
SpisGene11663	4	162	150.25	1.0782	1.23	4.26
SpisGene11664	407	290	612.35	0.4736	70.17	65.38
SpisGene11665	397	218	424.88	0.5131	91.06	63.64
SpisGene11666	327	189	408.24	0.463	86.51	68.75
SpisGene11667	0	16	27.33	0.5854	0	0
SpisGene11668	0	155	163.59	0.9475	0	0
SpisGene11669	0	86	216.58	0.3971	0	0
SpisGene11670	0	186	247.22	0.7524	0	0
SpisGene11671	0	159	175.74	0.9047	0	0
SpisGene11672	55	69	172.99	0.3989	39.86	76.92
SpisGene11673	204	315	793.08	0.3972	32.38	86.67
SpisGene11674	365	386	1135.83	0.3398	47.28	85.71
SpisGene11675	291	435	956.32	0.4549	33.45	84.62
SpisGene11676	0	178	182.78	0.9738	0	0
SpisGene11677	22	135	251.27	0.5373	8.15	80.43
SpisGene11678	87	62	198.51	0.3123	70.16	88.24
SpisGene11679	0	95	108.92	0.8722	0	0
SpisGene11680	0	104	117.75	0.8832	0	0
SpisGene11681	114	65	147.48	0.4407	87.69	86.19
SpisGene11682	109	73	164.42	0.444	74.66	81.82
SpisGene11683	167	124	152.23	0.8146	67.34	38.89
SpisGene11684	120	116	210.14	0.552	51.72	83.33
SpisGene11685	139	73	296.09	0.2465	95.21	84.21
SpisGene11686	77	334	388.03	0.8608	11.53	16.22
SpisGene11687	0	40	82.73	0.4835	0	0
SpisGene11688	0	16	25.76	0.6211	0	0
SpisGene11689	0	55	75.05	0.7328	0	0
SpisGene11690	131	1357	1610.19	0.8428	4.83	23.68
SpisGene11691	29	470	511.25	0.9193	3.09	37.5
SpisGene11692	2	25	30.81	0.8114	4.0	1.93
SpisGene11693	0	47	55.53	0.8464	0	0
SpisGene11694	0	225	212.07	1.061	0	0
SpisGene11695	0	55	35.8	1.5363	0	0
SpisGene11696	2	335	327.27	1.0236	0.3	12.5
SpisGene11697	0	115	120.5	0.9544	0	0
SpisGene11698	3	47	36.8	1.2772	3.19	58.33
SpisGene11699	3	396	394.24	1.0045	0.38	13.04
SpisGene11700	0	289	312.62	0.9244	0	0
SpisGene11701	0	472	518.5	0.9103	0	0
SpisGene11702	0	223	283.88	0.7855	0	0
SpisGene11703	26	29	58.9	0.4924	44.83	35.07
SpisGene11704	22	39	86.14	0.4528	28.21	36.7
SpisGene11705	0	26	55.27	0.4704	0	0
SpisGene11706	0	26	68.02	0.3822	0	0
SpisGene11707	26	152	335.92	0.4525	8.55	56.39
SpisGene11708	25	122	223.95	0.5448	10.25	15.62
SpisGene11709	0	151	191.91	0.7868	0	0
SpisGene11710	0	107	102.25	1.0465	0	0
SpisGene11711	21	75	192.28	0.3901	14.0	14.08
SpisGene11712	0	129	143.78	0.8972	0	0
SpisGene11713	0	760	781.4	0.9726	0	0
SpisGene11714	96	443	567.94	0.78	10.84	32.45
SpisGene11715	0	37	46.45	0.7966	0	0
SpisGene11716	0	413	342.3	1.2065	0	0
SpisGene11717	9	8	27.81	0.2877	56.25	66.67
SpisGene11718	60	143	182.7	0.7827	20.98	10.53
SpisGene11719	126	125	170.11	0.7348	50.4	83.33
SpisGene11720	0	34	69.61	0.4884	0	0
SpisGene11721	0	288	394.52	0.73	0	0
SpisGene11722	211	627	828.99	0.7563	16.83	56.25
SpisGene11723	24	1490	1520.08	0.9802	0.81	6.9
SpisGene11724	22	38	97.65	0.3891	28.95	85.86
SpisGene11725	156	1202	1508.69	0.7967	6.49	75.0
SpisGene11726	0	59	74.49	0.7921	0	0
SpisGene11727	0	95	103.5	0.9179	0	0
SpisGene11728	0	140	143.49	0.9757	0	0
SpisGene11729	0	65	61.37	1.0591	0	0
SpisGene11730	15	369	447.59	0.8244	2.03	24.49
SpisGene11731	0	426	447.02	0.953	0	0
SpisGene11732	5	450	587.92	0.7654	0.56	1.87
SpisGene11733	13	146	205.72	0.7097	4.45	10.34
SpisGene11734	0	107	131.02	0.8167	0	0
SpisGene11735	4	157	156.64	1.0023	1.27	23.33
SpisGene11736	0	157	125.56	1.2504	0	0
SpisGene11737	236	718	1178.73	0.6091	16.43	88.24
SpisGene11738	4	58	87.76	0.6609	3.45	56.75
SpisGene11739	115	255	391.92	0.6506	22.55	50.0
SpisGene11740	148	188	256.61	0.7326	39.36	81.37
SpisGene11741	68	866	906.9	0.9549	3.93	82.97
SpisGene11742	39	47	139.74	0.3363	41.49	65.0
SpisGene11743	13	13	58.65	0.2217	50.0	83.33
SpisGene11744	110	75	201.48	0.3722	73.33	88.89
SpisGene11745	136	88	118.22	0.7444	77.27	84.41
SpisGene11746	0	54	180.25	0.2996	0	0
SpisGene11747	0	222	221.57	1.0019	0	0
SpisGene11748	0	113	40.03	2.8229	0	0
SpisGene11749	0	101	122.8	0.8225	0	0
SpisGene11750	0	124	144.85	0.8561	0	0
SpisGene11751	0	735	906.03	0.8112	0	0
SpisGene11752	0	46	60.25	0.7635	0	0
SpisGene11753	19	61	98.15	0.6215	15.57	29.0
SpisGene11754	0	327	415.43	0.7871	0	0
SpisGene11755	0	104	120.9	0.8602	0	0
SpisGene11756	0	98	120.85	0.8109	0	0
SpisGene11757	8	446	623.59	0.7152	0.9	20.83
SpisGene11758	0	130	157.43	0.8258	0	0
SpisGene11759	302	1076	1633.75	0.6586	14.03	85.71
SpisGene11760	1	122	210.06	0.5808	0.41	4.55
SpisGene11761	0	222	238.27	0.9317	0	0
SpisGene11762	0	334	441.89	0.7558	0	0
SpisGene11763	14	478	574.41	0.8322	1.46	39.76
SpisGene11764	0	191	292.51	0.653	0	0
SpisGene11766	14	1647	1897.77	0.8679	0.43	12.69
SpisGene11767	57	58	224.56	0.2583	49.14	90.0
SpisGene11768	35	384	417.72	0.9193	4.56	68.75
SpisGene11769	0	567	589.96	0.9611	0	0
SpisGene11770	0	95	98.46	0.9649	0	0
SpisGene11771	18	70	139.93	0.5003	12.86	82.58
SpisGene11772	21	37	104.31	0.3547	28.38	88.46
SpisGene11773	0	32	110.16	0.2905	0	0
SpisGene11774	73	119	293.38	0.4056	30.67	72.22
SpisGene11775	1	720	825.83	0.8719	0.07	26.32
SpisGene11776	11	553	478.16	1.1565	0.99	23.08
SpisGene11777	59	97	158.67	0.6113	30.41	36.84
SpisGene11778	23	203	315.17	0.6441	5.67	18.75
SpisGene11779	60	85	240.65	0.3532	35.29	48.53
SpisGene11780	52	212	352.94	0.6007	12.26	90.0
SpisGene11781	91	397	636.71	0.6235	11.46	88.0
SpisGene11782	11	650	742.3	0.8757	0.85	6.82
SpisGene11783	35	426	626.41	0.6801	4.11	40.0
SpisGene11784	0	67	122.4	0.5474	0	0
SpisGene11785	0	65	77.51	0.8386	0	0
SpisGene11786	0	283	297.03	0.9528	0	0
SpisGene11787	7	824	868.38	0.9489	0.42	19.05
SpisGene11788	128	243	336.87	0.7213	26.34	88.89
SpisGene11789	70	228	323.82	0.7041	15.35	73.86
SpisGene11790	0	138	141.44	0.9757	0	0
SpisGene11791	56	492	514.95	0.9554	5.69	70.0
SpisGene11792	0	304	375.98	0.8086	0	0
SpisGene11793	0	152	253.96	0.5985	0	0
SpisGene11794	0	273	280.59	0.9729	0	0
SpisGene11795	0	157	195.1	0.8047	0	0
SpisGene11796	0	66	74.13	0.8903	0	0
SpisGene11797	0	454	513.56	0.884	0	0
SpisGene11798	6	55	85.73	0.6415	5.45	15.23
SpisGene11799	146	121	307.71	0.3932	60.33	88.89
SpisGene11800	0	99	119.51	0.8284	0	0
SpisGene11801	0	41	32.79	1.2504	0	0
SpisGene11802	31	51	78.11	0.6529	30.39	88.24
SpisGene11803	137	138	395.06	0.3493	49.64	71.43
SpisGene11804	0	64	111.35	0.5748	0	0
SpisGene11805	64	170	348.7	0.4875	18.82	83.05
SpisGene11806	106	54	65.72	0.8217	98.15	91.3
SpisGene11807	123	136	189.86	0.7163	45.22	47.37
SpisGene11808	46	23	37.39	0.6151	100.0	77.35
SpisGene11809	305	157	223.13	0.7036	97.13	84.21
SpisGene11810	339	190	506.58	0.3751	89.21	86.67
SpisGene11811	87	99	138.96	0.7124	43.94	88.89
SpisGene11812	433	349	421.98	0.8271	62.03	34.04
SpisGene11813	533	336	509.23	0.6598	79.32	78.26
SpisGene11814	210	180	304.4	0.5913	58.33	58.58
SpisGene11815	409	264	430.71	0.6129	77.46	75.0
SpisGene11816	30	17	36.88	0.461	88.24	62.59
SpisGene11817	139	109	160.61	0.6787	63.76	31.75
SpisGene11818	83	50	112.81	0.4432	83.0	42.86
SpisGene11819	197	113	142.77	0.7915	87.17	87.5
SpisGene11820	0	44	52.84	0.8327	0	0
SpisGene11821	12	780	900.55	0.8661	0.77	14.29
SpisGene11822	0	157	169.48	0.9264	0	0
SpisGene11823	7	360	458.01	0.786	0.97	4.81
SpisGene11824	0	107	141.03	0.7587	0	0
SpisGene11825	7	505	578.54	0.8729	0.69	16.67
SpisGene11826	33	170	209.8	0.8103	9.71	8.99
SpisGene11827	236	182	413.3	0.4404	64.84	76.47
SpisGene11828	1	59	90.48	0.6521	0.85	0.0
SpisGene11829	0	100	117.51	0.851	0	0
SpisGene11830	29	25	125.94	0.1985	58.0	87.5
SpisGene11831	0	257	307.08	0.8369	0	0
SpisGene11832	5	479	524.59	0.9131	0.52	18.75
SpisGene11833	0	377	366.55	1.0285	0	0
SpisGene11834	1	229	266.44	0.8595	0.22	0.0
SpisGene11835	0	286	327.54	0.8732	0	0
SpisGene11836	0	131	172.15	0.761	0	0
SpisGene11837	0	156	203.93	0.765	0	0
SpisGene11838	49	287	379.73	0.7558	8.54	63.16
SpisGene11839	0	445	475.8	0.9353	0	0
SpisGene11841	14	23	41.2	0.5583	30.43	14.21
SpisGene11842	0	372	653.04	0.5696	0	0
SpisGene11843	155	190	350.65	0.5419	40.79	87.5
SpisGene11844	176	179	462.54	0.387	49.16	88.68
SpisGene11845	106	116	196.69	0.5898	45.69	87.5
SpisGene11846	158	287	519.18	0.5528	27.53	88.89
SpisGene11847	0	19	30.32	0.6266	0	0
SpisGene11848	13	132	274.48	0.4809	4.92	37.5
SpisGene11849	0	31	40.39	0.7675	0	0
SpisGene11850	0	88	98.73	0.8913	0	0
SpisGene11851	1	165	203.96	0.809	0.3	13.33
SpisGene11852	0	137	179.91	0.7615	0	0
SpisGene11853	0	81	120.73	0.6709	0	0
SpisGene11854	33	61	142.32	0.4286	27.05	63.64
SpisGene11855	72	64	173.19	0.3695	56.25	88.24
SpisGene11856	47	25	105.76	0.2364	94.0	90.48
SpisGene11857	37	41	130.61	0.3139	45.12	89.47
SpisGene11858	73	124	213.05	0.582	29.44	85.71
SpisGene11859	40	262	370.18	0.7078	7.63	78.95
SpisGene11860	211	474	785.88	0.6031	22.26	85.71
SpisGene11861	0	545	546.79	0.9967	0	0
SpisGene11862	3	235	186.2	1.2621	0.64	25.0
SpisGene11863	0	172	190.61	0.9024	0	0
SpisGene11864	0	417	486.89	0.8565	0	0
SpisGene11865	0	84	113.41	0.7407	0	0
SpisGene11866	0	39	58.02	0.6722	0	0
SpisGene11867	0	197	237.34	0.83	0	0
SpisGene11868	0	66	70.03	0.9425	0	0
SpisGene11869	0	121	139.06	0.8701	0	0
SpisGene11870	0	169	179.99	0.9389	0	0
SpisGene11871	0	83	100.27	0.8278	0	0
SpisGene11872	0	198	195.1	1.0149	0	0
SpisGene11873	0	64	85.1	0.7521	0	0
SpisGene11874	0	292	318.07	0.918	0	0
SpisGene11875	0	83	84.56	0.9816	0	0
SpisGene11876	0	94	99.03	0.9492	0	0
SpisGene11877	32	77	201.98	0.3812	20.78	72.38
SpisGene11878	117	761	893.98	0.8512	7.69	80.0
SpisGene11879	0	486	504.87	0.9626	0	0
SpisGene11880	346	484	725.29	0.6673	35.74	81.82
SpisGene11881	3	41	56.27	0.7286	3.66	46.43
SpisGene11882	175	447	748.79	0.597	19.57	50.0
SpisGene11883	529	331	476.23	0.695	79.91	84.21
SpisGene11884	92	277	462.3	0.5992	16.61	86.67
SpisGene11885	1	27	58.14	0.4644	1.85	50.0
SpisGene11886	34	50	128.62	0.3887	34.0	81.67
SpisGene11887	0	222	216.01	1.0277	0	0
SpisGene11888	37	120	188.74	0.6358	15.42	52.0
SpisGene11889	0	156	212.88	0.7328	0	0
SpisGene11890	0	135	154.94	0.8713	0	0
SpisGene11891	0	46	48.15	0.9553	0	0
SpisGene11892	45	72	218.69	0.3292	31.25	86.67
SpisGene11893	78	277	388.83	0.7124	14.08	83.48
SpisGene11894	52	149	233.56	0.638	17.45	84.81
SpisGene11895	87	695	899.82	0.7724	6.26	84.21
SpisGene11896	24	62	112.93	0.549	19.35	79.47
SpisGene11897	2	29	57.99	0.5001	3.45	37.5
SpisGene11898	210	146	363.05	0.4021	71.92	87.5
SpisGene11899	35	33	88.78	0.3717	53.03	90.0
SpisGene11900	92	91	178.69	0.5093	50.55	80.0
SpisGene11901	130	259	560.08	0.4624	25.1	53.94
SpisGene11902	4	434	466.14	0.9311	0.46	16.47
SpisGene11903	68	45	265.73	0.1693	75.56	75.0
SpisGene11904	4	39	79.53	0.4904	5.13	47.5
SpisGene11905	0	219	288.12	0.7601	0	0
SpisGene11906	190	478	490.3	0.9749	19.87	35.5
SpisGene11907	359	379	656.65	0.5772	47.36	72.22
SpisGene11908	125	263	312.69	0.8411	23.76	78.57
SpisGene11909	0	59	62.76	0.9401	0	0
SpisGene11910	0	132	154.96	0.8518	0	0
SpisGene11911	50	49	139.15	0.3521	51.02	92.15
SpisGene11912	302	436	672.08	0.6487	34.63	88.24
SpisGene11913	229	187	508.07	0.3681	61.23	86.96
SpisGene11914	13	2232	2418.83	0.9228	0.29	8.93
SpisGene11915	0	85	115.97	0.7329	0	0
SpisGene11916	76	40	49.66	0.8055	95.0	23.53
SpisGene11917	0	65	61.74	1.0528	0	0
SpisGene11918	0	365	408.26	0.894	0	0
SpisGene11919	0	105	124.42	0.8439	0	0
SpisGene11920	0	260	329.96	0.788	0	0
SpisGene11921	0	94	166.39	0.5649	0	0
SpisGene11922	0	111	119.84	0.9262	0	0
SpisGene11923	0	44	41.13	1.0698	0	0
SpisGene11924	13	349	326.21	1.0699	1.86	10.0
SpisGene11925	113	450	542.81	0.829	12.56	56.52
SpisGene11926	26	183	186.04	0.9837	7.1	17.03
SpisGene11927	0	1546	1356.2	1.1399	0	0
SpisGene11928	5	148	276.84	0.5346	1.69	22.73
SpisGene11929	0	70	115.85	0.6042	0	0
SpisGene11930	24	168	148.51	1.1312	7.14	5.75
SpisGene11931	43	110	156.25	0.704	19.55	8.22
SpisGene11932	0	371	405.68	0.9145	0	0
SpisGene11933	131	181	276.24	0.6552	36.19	85.71
SpisGene11934	154	230	488.61	0.4707	33.48	85.71
SpisGene11935	36	167	245.41	0.6805	10.78	86.67
SpisGene11936	6	52	76.74	0.6776	5.77	90.28
SpisGene11937	32	18	115.34	0.1561	88.89	75.4
SpisGene11938	54	99	194.53	0.5089	27.27	76.33
SpisGene11939	0	123	147.5	0.8339	0	0
SpisGene11940	0	160	181.6	0.8811	0	0
SpisGene11941	0	89	112.42	0.7917	0	0
SpisGene11942	0	108	117.0	0.9231	0	0
SpisGene11943	6	50	84.83	0.5894	6.0	0.0
SpisGene11944	0	95	114.15	0.8322	0	0
SpisGene11945	6	64	80.89	0.7912	4.69	20.0
SpisGene11946	0	73	96.03	0.7602	0	0
SpisGene11947	26	80	179.13	0.4466	16.25	39.15
SpisGene11948	126	177	272.53	0.6495	35.59	64.71
SpisGene11949	74	390	696.27	0.5601	9.49	31.41
SpisGene11950	8	266	374.12	0.711	1.5	8.9
SpisGene11951	0	152	164.69	0.9229	0	0
SpisGene11952	57	52	150.86	0.3447	54.81	85.71
SpisGene11953	84	261	338.32	0.7715	16.09	84.62
SpisGene11954	94	76	307.19	0.2474	61.84	91.99
SpisGene11955	73	57	191.62	0.2975	64.04	86.67
SpisGene11957	220	130	416.77	0.3119	84.62	81.53
SpisGene11958	89	414	551.55	0.7506	10.75	83.33
SpisGene11959	26	25	80.85	0.3092	52.0	89.74
SpisGene11960	56	171	235.3	0.7267	16.37	46.76
SpisGene11961	94	82	174.28	0.4705	57.32	75.74
SpisGene11962	0	93	104.04	0.8939	0	0
SpisGene11963	0	67	97.81	0.685	0	0
SpisGene11964	405	254	470.01	0.5404	79.72	85.71
SpisGene11965	169	86	179.96	0.4779	98.26	85.71
SpisGene11966	40	20	43.18	0.4632	100.0	86.67
SpisGene11967	26	14	35.42	0.3953	92.86	56.35
SpisGene11968	30	15	39.48	0.3799	100.0	80.62
SpisGene11969	83	451	823.06	0.548	9.2	84.0
SpisGene11970	1	284	289.42	0.9813	0.18	25.0
SpisGene11971	147	327	490.52	0.6666	22.48	71.43
SpisGene11972	9	14	73.39	0.1908	32.14	87.5
SpisGene11973	0	30	33.35	0.8996	0	0
SpisGene11974	0	58	62.63	0.9261	0	0
SpisGene11975	8	265	366.86	0.7223	1.51	5.93
SpisGene11976	9	20	51.72	0.3867	22.5	8.33
